firm,model,drive,frame_type,generation_number,year,restyling_number,mileage,transmission,engine_power,steering_wheel,fuel_type,volume,ownership_periods,price
BMW,5-Series,FR,SEDAN,7,2018,0,52700,AT,190,left,DIESEL,2000.0,3.0,2849000
Chevrolet,Niva,4WD,SUV,1,2010,1,96000,MT,80,left,GASOLINE,1700.0,2.0,329000
Volkswagen,Jetta,FF,SEDAN,6,2017,1,75439,MANUAL,110,left,GASOLINE,1600.0,2.0,925000
Volkswagen,Passat,FF,WAGON,0,2007,0,232000,AUTO,136,left,DIESEL,1968.0,6.0,480900
Kia,Sportage,FF,SUV,4,2021,1,0,MT,150,left,GASOLINE,2000.0,0.0,1899900
Kia,Ceed,FF,WAGON,3,2021,0,0,AT,128,left,GASOLINE,1600.0,0.0,1524900
Kia,Sportage,FF,SUV,4,2021,1,0,MT,150,left,GASOLINE,2000.0,0.0,1899900
Kia,Ceed,FF,HATCH,3,2021,0,0,AT,128,left,GASOLINE,1600.0,0.0,1624900
Honda,CR-V,4WD,SUV,4,2013,0,95206,AT,190,left,GASOLINE,2400.0,2.0,1714000
Honda,Freed,FF,MINIVAN,1,2013,1,83000,CVT,118,right,GASOLINE,1500.0,0.0,888600
Chevrolet,Rezzo,FF,MINIVAN,1,2007,0,170000,MANUAL,90,left,GASOLINE,1600.0,0.0,355000
Volkswagen,Transporter,FF,MINIVAN,5,2005,0,230000,MANUAL,84,left,DIESEL,2000.0,6.0,580000
Kia,Ceed,FF,HATCH,2,2015,1,76000,MANUAL,130,left,GASOLINE,1600.0,4.0,729000
BMW,X1,FF,SUV,2,2017,0,82354,AUTO,136,left,GASOLINE,1500.0,1.0,1769000
Audi,A6,FF,SEDAN,4,2016,1,107914,AUTO,190,left,GASOLINE,1800.0,1.0,1899000
Volvo,S60,4WD,SEDAN,2,2017,1,78135,AUTO,245,left,GASOLINE,2000.0,3.0,2049000
BMW,X3,4WD,SUV,3,2018,0,58729,AUTO,184,left,GASOLINE,2000.0,1.0,3049000
Skoda,Octavia,FF,LIFTBACK,2,2012,1,132000,MANUAL,102,left,GASOLINE,1600.0,2.0,599500
Volkswagen,Polo,FF,SEDAN,5,2016,1,56740,AUTO,110,left,GASOLINE,1600.0,1.0,829000
Volkswagen,Polo,FF,SEDAN,5,2016,1,40917,AUTO,110,left,GASOLINE,1600.0,1.0,829000
Volkswagen,Polo,FF,SEDAN,5,2016,1,51274,AUTO,110,left,GASOLINE,1600.0,1.0,829000
Nissan,X-Trail,4WD,SUV,3,2018,0,122522,AUTO,144,left,GASOLINE,2000.0,1.0,1649000
Hyundai,ix35,FF,SUV,1,2015,1,101017,MANUAL,150,left,GASOLINE,2000.0,1.0,1107000
Ford,Kuga,4WD,SUV,2,2015,0,163914,AUTO,150,left,GASOLINE,1600.0,3.0,1175300
Mercedes-Benz,GL-Class,4WD,SUV,2,2013,0,188000,AUTO,435,left,GASOLINE,4700.0,3.0,2500000
Honda,Civic,FF,SEDAN,8,2006,0,258620,CVT,95,left,GASOLINE,1300.0,6.0,456000
Mercedes-Benz,E-Class,RR,SEDAN,0,2013,0,144950,AUTO,184,left,GASOLINE,1796.0,1.0,1239000
Geely,Tugella FY11,4WD,SUV,1,2021,0,0,AT,238,left,GASOLINE,2000.0,0.0,2868682
Volvo,XC70,4WD,WAGON,3,2009,0,227301,AUTO,285,left,GASOLINE,3000.0,4.0,939000
Mazda,CX-5,4WD,SUV,2,2018,0,16000,AUTO,150,left,GASOLINE,2000.0,1.0,2230000
Toyota,Camry,4WD,SEDAN,3,1992,1,361797,MANUAL,135,right,GASOLINE,2000.0,0.0,100000
SsangYong,Actyon,FF,SUV,2,2013,1,128371,MT,149,left,GASOLINE,2000.0,3.0,615000
Chevrolet,Malibu,FF,SEDAN,9,2019,1,45000,AUTO,160,left,GASOLINE,1500.0,1.0,1395000
Chevrolet,Niva,4WD,SUV,1,2014,1,82000,MANUAL,80,left,GASOLINE,1700.0,1.0,425000
Opel,Astra,FF,HATCH,4,2011,0,0,MANUAL,140,left,GASOLINE,1400.0,7.0,290000
Opel,Insignia,4WD,LIFTBACK,1,2013,0,175000,AUTO,160,left,DIESEL,2000.0,3.0,929900
BMW,X6,4WD,SUV,1,2009,0,168840,AT,407,left,GASOLINE,4400.0,16.0,1150000
Kia,Venga,FF,HATCH,1,2012,0,131000,AUTO,125,left,GASOLINE,1600.0,2.0,609000
Hyundai,ix35,4WD,SUV,1,2012,0,153000,MANUAL,150,left,GASOLINE,2000.0,1.0,879000
Renault,Megane,FF,HATCH,2,2004,0,282432,MT,82,left,DIESEL,1500.0,3.0,234999
Audi,Q5,4WD,SUV,0,2021,0,0,AUTO,249,left,GASOLINE,2000.0,0.0,4150000
Chevrolet,Nexia,FF,SEDAN,1,2021,0,0,AT,106,left,GASOLINE,1500.0,0.0,891900
Chevrolet,Nexia,FF,SEDAN,1,2021,0,0,AT,106,left,GASOLINE,1500.0,0.0,891900
Volvo,V40,FF,HATCH,3,2016,0,62121,AUTO,120,left,DIESEL,2000.0,2.0,1579000
Volkswagen,Transporter,FF,MINIVAN,5,2011,1,354217,MANUAL,140,left,DIESEL,2000.0,1.0,986000
Audi,Q3,4WD,SUV,0,2018,0,46021,AUTO,180,left,GASOLINE,2000.0,2.0,2329000
Toyota,Camry,FF,SEDAN,0,2018,0,28162,AUTO,181,left,GASOLINE,2500.0,1.0,1899000
Audi,Q7,4WD,SUV,2,2021,1,0,AT,249,left,DIESEL,3000.0,0.0,8999000
Suzuki,Jimny,4WD,SUV_3DR,4,2021,0,0,AT,102,left,GASOLINE,1500.0,0.0,2218240
Suzuki,Vitara,FF,SUV,4,2021,1,0,AT,117,left,GASOLINE,1600.0,0.0,1795849
Suzuki,Vitara,4WD,SUV,4,2021,1,0,AT,117,left,GASOLINE,1600.0,0.0,1959990
Suzuki,Jimny,4WD,SUV_3DR,4,2021,0,0,AT,102,left,GASOLINE,1500.0,0.0,2272097
Kia,Magentis,FF,SEDAN,2,2007,0,188000,AUTO,145,left,GASOLINE,2000.0,7.0,435000
Infiniti,FX37,4WD,SUV,2,2012,1,142287,AUTO,333,left,GASOLINE,3700.0,6.0,1600000
Fiat,Panda,FF,HATCH,2,2008,0,90000,MANUAL,60,left,GASOLINE,1200.0,5.0,285000
Toyota,Verso,FF,MINIVAN,1,2012,0,160000,CVT,147,left,GASOLINE,1800.0,5.0,885000
Chevrolet,Lacetti,FF,SEDAN,1,2011,0,159000,MT,95,left,GASOLINE,1400.0,2.0,335000
Nissan,X-Trail,4WD,SUV,3,2015,0,120836,AUTO,144,left,GASOLINE,2000.0,1.0,1345000
Volkswagen,Tiguan,FF,SUV,1,2015,1,58600,SAT,150,left,GASOLINE,1400.0,1.0,1299000
Daewoo,Matiz,FF,HATCH,1,2007,1,123000,MT,51,left,GASOLINE,800.0,4.0,105000
Mercedes-Benz,S-Class,4WD,SEDAN,6,2014,0,115000,AUTO,455,left,GASOLINE,4700.0,2.0,2550000
Mercedes-Benz,A-Class,FF,HATCH,3,2015,0,87574,AUTO,122,left,GASOLINE,1600.0,7.0,1256000
Volkswagen,Tiguan,FF,SUV,1,2014,1,130000,SAT,,,,,,839000
Mitsubishi,L200,4WD,PICKUP,4,2011,0,187536,MANUAL,136,left,DIESEL,2500.0,9.0,859000
Subaru,Impreza WRX STI,4WD,HATCH,3,2008,0,140000,MANUAL,300,left,GASOLINE,2500.0,7.0,830000
Renault,Logan,FF,SEDAN,1,2013,1,36000,MT,75,left,GASOLINE,1400.0,1.0,449000
Nissan,Patrol,4WD,SUV,6,2012,0,222800,AUTO,405,left,GASOLINE,5600.0,1.0,1500000
Citroen,Berlingo,FF,MINIVAN,2,2016,0,61287,MANUAL,120,left,GASOLINE,1600.0,1.0,955000
Kia,Ceed,FF,HATCH,1,2007,0,256000,MANUAL,115,left,GASOLINE,1600.0,7.0,389000
Citroen,Berlingo,FF,MINIVAN,0,2009,0,98970,MANUAL,110,left,GASOLINE,1600.0,3.0,369000
Chevrolet,Niva,4WD,SUV,1,2018,1,84635,MANUAL,80,left,GASOLINE,1700.0,2.0,439000
Mitsubishi,ASX,4WD,SUV,1,2013,1,161046,AUTO,150,left,GASOLINE,2000.0,2.0,899000
Volkswagen,Jetta,FF,SEDAN,6,2013,0,73000,MANUAL,105,left,GASOLINE,1600.0,2.0,680000
Chevrolet,Niva,4WD,SUV,1,2011,1,92000,MANUAL,80,left,GASOLINE,1700.0,1.0,343000
Audi,A8,4WD,SEDAN,2,2007,1,145000,AT,350,left,GASOLINE,4200.0,4.0,300000
Volkswagen,Polo,FF,SEDAN,5,2016,1,62364,AUTO,110,left,GASOLINE,1600.0,1.0,829000
Volkswagen,Passat,FF,SEDAN,8,2016,0,56435,AUTO,150,left,GASOLINE,1400.0,1.0,1469000
Honda,Vezel,4WD,SUV,1,2014,0,132000,SAT,132,right,GASOLINE,1500.0,0.0,1360000
Chevrolet,Niva,4WD,SUV,1,2018,1,75000,MT,80,left,GASOLINE,1700.0,1.0,649999
Hyundai,Accent,FF,SEDAN,-1,2007,-1,140000,MANUAL,102,right,GASOLINE,0.0,0.0,200000
Kia,Spectra,FF,SEDAN,2,2007,1,215000,MANUAL,101,left,GASOLINE,1600.0,9.0,210000
Ford,Fusion,FF,HATCH,1,2011,1,150000,AT,100,left,GASOLINE,1600.0,4.0,530000
Audi,A8,4WD,SEDAN,1,1995,0,270000,AT,300,left,GASOLINE,4200.0,9.0,370000
Hyundai,Solaris,FF,SEDAN,2,2021,1,59,AT,123,left,GASOLINE,1600.0,1.0,1270000
Volkswagen,Tiguan,4WD,SUV,1,2012,1,0,AUTO,170,left,GASOLINE,2000.0,0.0,1129000
Volkswagen,Passat,FF,SEDAN,8,2016,0,85000,SAT,150,left,GASOLINE,1400.0,1.0,1550000
Mazda,CX-7,4WD,SUV,1,2010,1,163000,AT,238,left,GASOLINE,2300.0,5.0,689000
Mitsubishi,L200,4WD,PICKUP,4,2010,0,150000,MT,136,left,DIESEL,2500.0,5.0,890000
Daewoo,Matiz,FF,HATCH,0,2002,0,122000,MANUAL,52,left,GASOLINE,796.0,7.0,127900
Toyota,RAV4,4WD,SUV,4,2018,1,42000,MT,146,left,GASOLINE,2000.0,0.0,1990000
Honda,Stepwgn,FF,MINIVAN,4,2014,1,70000,AUTO,150,right,GASOLINE,2000.0,0.0,1395000
Skoda,Octavia,FF,WAGON,2,2009,1,152000,AUTO,160,left,GASOLINE,1800.0,9.0,535000
Volkswagen,Polo,FF,SEDAN,5,2016,1,112400,AUTO,110,left,GASOLINE,1600.0,1.0,769000
Honda,Odyssey,FF,MINIVAN,1,1997,0,500000,AT,145,right,GASOLINE,2200.0,0.0,245000
Hyundai,Santa Fe,4WD,SUV,3,2016,1,97000,AT,200,left,DIESEL,2200.0,2.0,2070000
Kia,Ceed,FF,WAGON,2,2012,0,113000,MANUAL,129,left,GASOLINE,1600.0,2.0,595000
Volkswagen,Amarok,4WD,PICKUP,1,2015,0,93195,AUTO,180,left,DIESEL,2000.0,1.0,2229000
Fiat,Doblo,FF,MINIVAN,1,2014,1,188000,MT,77,left,GASOLINE,1400.0,2.0,375000
Peugeot,208,FF,HATCH,1,2013,0,65035,AUTO,82,left,GASOLINE,1200.0,3.0,409000
Nissan,Sunny,FF,SEDAN,9,2003,1,258000,AT,90,right,GASOLINE,1300.0,0.0,165000
Mazda,Mazda3,FF,HATCH,2,2011,0,160545,AUTO,105,left,GASOLINE,1600.0,7.0,629000
Nissan,Skyline,FR,SEDAN,10,1999,0,250000,MT,200,right,GASOLINE,2500.0,0.0,340000
Audi,A6 allroad quattro,4WD,WAGON,3,2012,0,222468,AUTO,310,left,GASOLINE,3000.0,3.0,1399000
Opel,Mokka,4WD,SUV,1,2014,0,129544,AUTO,140,left,GASOLINE,1800.0,3.0,809000
Geely,Atlas,4WD,SUV,1,2021,0,0,AT,148,left,GASOLINE,2400.0,0.0,2001232
Geely,Atlas,4WD,SUV,1,2021,0,0,AT,148,left,GASOLINE,2400.0,0.0,1801990
Volkswagen,Tiguan,4WD,SUV,1,2014,1,152079,MT,,,,,,999000
Volkswagen,Polo,FF,SEDAN,5,2012,0,138359,AUTO,105,left,GASOLINE,1600.0,3.0,569000
Toyota,RAV4,4WD,SUV,4,2015,0,115000,AUTO,146,left,GASOLINE,2000.0,1.0,1599990
Volkswagen,Polo,FF,SEDAN,5,2018,1,235212,MANUAL,90,left,GASOLINE,1600.0,1.0,639000
Infiniti,QX80,4WD,SUV,1,2019,2,59000,AT,405,left,GASOLINE,5600.0,1.0,5500000
Audi,e-tron Sportback,4WD,SUV,0,2021,0,0,AUTO,408,left,ELECTRO,0.0,0.0,8990000
Kia,Sportage,4WD,SUV,2,2008,0,190000,AUTO,112,left,DIESEL,2000.0,7.0,559000
Chery,Tiggo T11,FF,SUV,1,2014,1,112536,MT,126,left,GASOLINE,1600.0,2.0,475000
Kia,Ceed,FF,HATCH,2,2013,0,170000,AUTO,129,left,GASOLINE,1600.0,0.0,400000
Mazda,323,FF,SEDAN,4,1990,0,325000,MT,73,left,GASOLINE,1300.0,9.0,47000
Porsche,Cayenne,4WD,SUV,2,2016,1,96564,AUTO,440,left,GASOLINE,3600.0,3.0,3799000
Porsche,Panamera,4WD,LIFTBACK,1,2013,1,75730,SAT,310,left,GASOLINE,3600.0,3.0,2999000
Volkswagen,Tiguan,4WD,SUV,1,2014,1,162500,AT,,,,,,1249000
Geely,Atlas,4WD,SUV,1,2021,0,0,AT,148,left,GASOLINE,2400.0,0.0,1801990
Geely,Coolray SX11,FF,SUV,1,2021,0,0,SAT,150,left,GASOLINE,1500.0,0.0,1376990
Geely,Atlas,FF,SUV,1,2021,0,0,AT,148,left,GASOLINE,2400.0,0.0,1711990
Geely,Coolray SX11,FF,SUV,1,2021,0,0,SAT,150,left,GASOLINE,1500.0,0.0,1536990
Kia,Optima,FF,SEDAN,4,2018,1,50000,AT,188,left,GASOLINE,2400.0,2.0,1854000
Toyota,Land Cruiser,4WD,SUV,11,2013,1,181000,AT,235,left,DIESEL,4500.0,3.0,3090000
Mitsubishi,Lancer,FF,SEDAN,9,2006,2,193658,AUTO,98,left,GASOLINE,1600.0,2.0,379000
Mitsubishi,Colt,FF,HATCH,6,2006,0,253000,MT,95,left,GASOLINE,1300.0,6.0,265000
Mitsubishi,Pajero,4WD,SUV,4,2012,1,206000,AT,200,left,DIESEL,3200.0,6.0,1550000
Renault,Logan,FF,SEDAN,1,2006,0,220000,MT,75,left,GASOLINE,1400.0,3.0,160000
Volkswagen,Tiguan,FF,SUV,1,2015,1,83000,AUTO,150,left,GASOLINE,1400.0,3.0,1168000
Volkswagen,Tiguan,4WD,SUV,1,2012,1,136900,AUTO,140,left,DIESEL,2000.0,2.0,1086000
Toyota,Corolla,FF,SEDAN,11,2015,0,108500,AUTO,122,left,GASOLINE,1600.0,1.0,1004000
Volkswagen,Polo,FF,SEDAN,5,2019,1,28100,AUTO,110,left,GASOLINE,1600.0,2.0,999000
Hyundai,Elantra,FF,SEDAN,5,2014,1,156000,MANUAL,132,left,GASOLINE,1600.0,4.0,639000
Peugeot,308,FF,HATCH,1,2008,0,209872,AUTO,120,left,GASOLINE,1600.0,10.0,399000
Opel,Astra,FF,SEDAN,3,2011,1,125450,AT,140,left,GASOLINE,1800.0,3.0,480000
Hyundai,Elantra,FF,SEDAN,4,2010,0,240000,MT,122,left,GASOLINE,1600.0,2.0,430000
Peugeot,1007,FF,HATCH_3DR,1,2006,0,93000,MANUAL,75,left,GASOLINE,1400.0,3.0,320000
Toyota,Vitz,4WD,HATCH,1,2002,1,180000,AUTO,87,right,GASOLINE,1300.0,0.0,332900
Kia,Rio,FF,SEDAN,3,2013,0,90591,MANUAL,107,left,GASOLINE,1400.0,2.0,539000
Infiniti,FX50,4WD,SUV,2,2013,1,86000,AUTO,420,left,GASOLINE,5000.0,4.0,2750000
Hyundai,Solaris,FF,HATCH,1,2015,1,147000,MANUAL,107,left,GASOLINE,1400.0,1.0,619000
Suzuki,Vitara,FF,SUV,4,2018,0,38812,AT,117,left,GASOLINE,1600.0,1.0,1375000
Hyundai,i30,FF,HATCH,2,2012,0,191000,MANUAL,130,left,GASOLINE,1600.0,3.0,615000
Mazda,Mazda6,FF,SEDAN,3,2017,0,79000,AUTO,150,left,GASOLINE,2000.0,2.0,1550000
Renault,Sandero,FF,HATCH,0,2014,0,92200,MANUAL,103,left,GASOLINE,1600.0,3.0,454000
Infiniti,FX50,4WD,SUV,2,2011,0,145000,AUTO,400,left,GASOLINE,5000.0,3.0,1650000
Nissan,Tiida,FF,HATCH,1,2013,1,59000,AUTO,110,left,GASOLINE,1600.0,1.0,539000
Ford,EcoSport,FF,SUV,2,2014,0,157000,AUTO,122,left,GASOLINE,1596.0,1.0,813000
Nissan,Terrano,4WD,SUV,3,2018,0,68900,MT,143,left,GASOLINE,2000.0,2.0,1099000
Volkswagen,Polo,FF,SEDAN,5,2011,0,152000,MANUAL,105,left,GASOLINE,1600.0,3.0,380000
Kia,Ceed,FF,HATCH,2,2018,1,58635,AUTO,130,left,GASOLINE,1600.0,1.0,1245000
Skoda,Superb,FF,LIFTBACK,2,2013,1,134200,SAT,152,left,GASOLINE,1800.0,3.0,940000
Ford,Focus,FF,HATCH,3,2017,1,145000,SAT,105,left,GASOLINE,1600.0,2.0,665000
Iran Khodro,Samand,FF,SEDAN,1,2007,0,200000,MANUAL,100,left,GASOLINE,1800.0,4.0,118000
Lexus,RX450h,4WD,SUV,3,2010,0,152500,AUTO,249,left,GASOLINE,3500.0,2.0,1860000
Infiniti,QX56,4WD,SUV,2,2010,0,216000,AT,405,left,GASOLINE,5600.0,2.0,1730000
Cadillac,SRX,4WD,SUV,1,2007,0,0,AUTO,255,left,GASOLINE,3600.0,3.0,460000
Renault,Arkana,4WD,SUV,1,2020,0,17551,CVT,149,left,GASOLINE,1300.0,1.0,1599900
Nissan,X-Trail,4WD,SUV,2,2014,1,119466,AUTO,141,left,GASOLINE,2000.0,3.0,1069990
Toyota,Mark II,FR,SEDAN,9,2003,1,320000,AT,200,right,GASOLINE,2500.0,0.0,399999
Volkswagen,Polo,FF,SEDAN,5,2016,1,68293,AUTO,110,left,GASOLINE,1600.0,1.0,809000
Volkswagen,Polo,FF,SEDAN,5,2016,1,46575,AUTO,110,left,GASOLINE,1600.0,1.0,829000
Volkswagen,Golf,FF,HATCH,7,2016,0,58725,AUTO,110,left,GASOLINE,1600.0,1.0,1229000
Renault,Duster,4WD,SUV,1,2017,1,78807,MANUAL,143,left,GASOLINE,2000.0,1.0,1029000
Hyundai,Solaris,FF,SEDAN,1,2015,1,60404,AUTO,107,left,GASOLINE,1400.0,2.0,739000
Daewoo,Nexia,FF,SEDAN,1,2012,2,247000,MANUAL,80,left,GASOLINE,1500.0,1.0,179900
Mitsubishi,Outlander,4WD,SUV,3,2015,0,367700,AUTO,230,left,GASOLINE,3000.0,1.0,1480000
Nissan,Qashqai,FF,SUV,1,2011,1,160000,MANUAL,114,left,GASOLINE,1600.0,2.0,840000
Daewoo,Matiz,FF,HATCH,0,2008,0,74000,MANUAL,52,left,GASOLINE,796.0,3.0,159900
Nissan,X-Trail,4WD,SUV,2,2014,1,108000,AUTO,169,left,GASOLINE,2500.0,2.0,1259500
Mitsubishi,Outlander,4WD,SUV,3,2013,0,187000,AUTO,146,left,GASOLINE,2000.0,1.0,1087900
Chrysler,300C,FR,SEDAN,1,2007,0,166000,AT,193,left,GASOLINE,2700.0,9.0,679900
Mazda,CX-5,4WD,SUV,2,2018,0,59638,AUTO,194,left,GASOLINE,2500.0,2.0,2199990
Subaru,Forester,4WD,SUV,1,2001,1,150000,AT,137,right,GASOLINE,2000.0,0.0,425000
Hyundai,Solaris,FF,SEDAN,1,2014,0,123000,AUTO,123,left,GASOLINE,1600.0,1.0,539000
Toyota,GT 86,RR,COUPE,-1,2018,-1,36000,MANUAL,207,left,GASOLINE,2000.0,0.0,1900000
Peugeot,308,FF,HATCH,1,2010,0,198000,MANUAL,120,left,GASOLINE,1600.0,8.0,340000
Toyota,Land Cruiser,4WD,SUV,11,2017,2,126326,AUTO,249,left,DIESEL,4500.0,1.0,4899000
BMW,3-Series,4WD,SEDAN,6,2015,1,122431,AUTO,190,left,DIESEL,2000.0,3.0,1599000
Opel,Astra,FF,HATCH,3,2010,1,135000,SAT,115,left,GASOLINE,1600.0,3.0,419000
Ford,Focus,FF,SEDAN,2,2010,1,168000,MANUAL,99,left,GASOLINE,1600.0,4.0,320000
Opel,Corsa,FF,HATCH_3DR,4,2012,1,66095,AUTO,100,left,GASOLINE,1400.0,4.0,524900
Chevrolet,Rezzo,FF,MINIVAN,1,2007,0,262000,MANUAL,90,left,GASOLINE,1600.0,4.0,316900
Subaru,Impreza XV,4WD,SUV,3,2011,0,187000,MANUAL,150,left,GASOLINE,2000.0,0.0,650000
Audi,Q7,4WD,SUV,2,2021,1,0,AUTO,249,left,DIESEL,3000.0,0.0,7830000
Volvo,XC90,4WD,SUV,2,2017,0,99090,AUTO,249,left,GASOLINE,2000.0,3.0,3719000
Volvo,XC60,4WD,SUV,1,2016,1,39689,AUTO,190,left,DIESEL,2400.0,1.0,2659000
Mazda,CX-5,FF,SUV,1,2015,1,80000,MT,150,left,GASOLINE,2000.0,2.0,1450000
Mitsubishi,RVR,4WD,MINIVAN,1,1994,0,0,AUTO,160,right,GASOLINE,2000.0,0.0,60000
Toyota,Land Cruiser Prado,4WD,SUV,3,2008,0,287696,AUTO,173,left,DIESEL,3000.0,1.0,1414000
Volkswagen,Polo,FF,SEDAN,5,2017,1,124000,AUTO,125,left,GASOLINE,1400.0,2.0,840000
BMW,3-Series,FR,SEDAN,6,2013,0,140000,AT,136,left,GASOLINE,1600.0,4.0,1350000
Land Rover,Freelander,4WD,SUV,1,2005,1,174670,MT,117,left,GASOLINE,1800.0,1.0,500000
BMW,6-Series,FR,COUPE,2,2007,0,178866,AT,367,left,GASOLINE,4800.0,7.0,690000
Chevrolet,Niva,4WD,SUV,1,2013,1,110000,MANUAL,80,left,GASOLINE,1700.0,3.0,359000
Volkswagen,Jetta,FF,SEDAN,5,2009,0,230000,MANUAL,102,left,GASOLINE,1600.0,1.0,550000
Chery,Tiggo 7 Pro,FF,SUV,1,2020,0,2180,AUTO,147,left,GASOLINE,1500.0,1.0,1809900
Fiat,Doblo,RR,MINIVAN,0,2019,0,1850,MANUAL,120,left,GASOLINE,1400.0,1.0,1543000
FAW,Besturn X40,FF,SUV,1,2019,0,14135,AT,108,left,GASOLINE,1600.0,1.0,1404000
Jeep,Grand Cherokee,4WD,SUV,4,2018,0,16047,AUTO,238,left,GASOLINE,3000.0,1.0,4670830
Jeep,Wrangler,4WD,SUV,4,2018,0,11327,AUTO,272,left,GASOLINE,2000.0,1.0,4567320
Chery,Tiggo 8,FF,SUV,1,2020,1,0,CVT,170,left,GASOLINE,2000.0,0.0,1730000
Mazda,CX-5,FF,SUV,2,2018,0,88000,AT,150,left,GASOLINE,2000.0,2.0,1980000
Honda,Civic,FF,HATCH,7,2001,0,240000,AUTO,105,right,GASOLINE,1500.0,0.0,200000
Mercedes-Benz,GL-Class,4WD,SUV,2,2015,0,189000,AUTO,333,left,GASOLINE,3000.0,2.0,2500000
Infiniti,M37,4WD,SEDAN,4,2010,0,200000,AT,333,left,GASOLINE,3700.0,8.0,890000
Volkswagen,Passat,FF,SEDAN,6,2006,0,230000,AT,150,left,GASOLINE,2000.0,0.0,490000
Subaru,Forester,4WD,SUV,1,1999,0,300000,AUTO,250,right,GASOLINE,2000.0,0.0,370000
SsangYong,Kyron,4WD,SUV,1,2011,1,152000,MANUAL,141,left,DIESEL,2000.0,6.0,550000
Toyota,Corolla,FF,HATCH,9,2004,1,183000,MT,97,left,GASOLINE,1400.0,3.0,369000
Chevrolet,Lacetti,FF,HATCH,1,2007,0,280000,MT,95,left,GASOLINE,1400.0,10.0,249000
Audi,Q5,4WD,SUV,2,2018,0,57471,AUTO,249,left,GASOLINE,2000.0,1.0,3199000
Kia,Sportage,FF,SUV,3,2015,1,105434,AUTO,150,left,GASOLINE,2000.0,1.0,1179000
Toyota,Mark II,FR,SEDAN,8,1999,1,187000,AT,280,right,GASOLINE,2500.0,0.0,600000
Toyota,Corolla,FF,SEDAN,10,2007,0,274000,MT,97,left,GASOLINE,1400.0,4.0,430000
Nissan,Pathfinder,4WD,SUV,3,2010,1,110200,AUTO,231,left,DIESEL,3000.0,3.0,1323000
Mazda,CX-5,4WD,SUV,1,2014,0,166575,AUTO,150,left,GASOLINE,2000.0,3.0,1330000
Kia,Rio,FF,SEDAN,4,2020,0,1390,AUTO,123,left,GASOLINE,1600.0,2.0,1099000
Citroen,C4,FF,HATCH_3DR,1,2005,0,257000,AT,110,left,GASOLINE,1600.0,8.0,299000
Hyundai,Matrix,FF,HATCH,1,2005,0,168690,AUTO,122,left,GASOLINE,1800.0,3.0,389000
Hyundai,Solaris,FF,SEDAN,2,2019,0,54000,MANUAL,100,left,GASOLINE,1400.0,1.0,883000
Skoda,Octavia,FF,LIFTBACK,2,2011,1,236000,MANUAL,80,left,GASOLINE,1400.0,3.0,475000
Hyundai,Solaris,FF,SEDAN,1,2011,0,394000,AUTO,107,left,GASOLINE,1400.0,3.0,390000
Nissan,Qashqai,FF,SUV,1,2012,1,182500,MANUAL,141,left,GASOLINE,2000.0,1.0,764000
Peugeot,206,FF,SEDAN,1,2007,1,137662,MANUAL,75,left,GASOLINE,1400.0,2.0,150000
Volkswagen,Polo,FF,SEDAN,5,2016,1,308881,MANUAL,90,left,GASOLINE,1600.0,1.0,409000
Toyota,Corolla,FF,SEDAN,10,2008,0,177769,MANUAL,124,left,GASOLINE,1600.0,3.0,479000
Volkswagen,Jetta,FF,SEDAN,6,2012,0,118447,AUTO,122,left,GASOLINE,1400.0,1.0,619000
Renault,Megane,FF,SEDAN,2,2007,1,140000,AT,113,left,GASOLINE,1600.0,3.0,295000
Kia,Sportage,4WD,SUV,1,2003,0,120000,AT,128,left,GASOLINE,2000.0,5.0,290000
Volkswagen,Transporter,FF,MINIVAN,4,2003,0,375000,MANUAL,102,left,DIESEL,2500.0,3.0,950000
Ford,Mondeo,FF,SEDAN,0,2012,0,167837,AUTO,240,left,GASOLINE,2000.0,4.0,749000
Honda,Civic,FF,SEDAN,8,2008,0,213271,MANUAL,140,left,GASOLINE,1800.0,6.0,569000
Mazda,Mazda6,FF,SEDAN,3,2013,0,163000,AT,150,left,GASOLINE,2000.0,2.0,1069000
Hyundai,Tucson,FF,SUV,3,2018,1,31843,AUTO,150,left,GASOLINE,2000.0,1.0,1777000
Hyundai,Matrix,FF,HATCH,1,2008,2,160000,MT,103,left,GASOLINE,1600.0,3.0,379000
Hyundai,Solaris,FF,SEDAN,1,2013,0,173000,MANUAL,107,left,GASOLINE,1400.0,3.0,545000
Land Rover,Freelander,4WD,SUV,2,2013,2,190000,AUTO,240,left,GASOLINE,2000.0,1.0,1299500
Peugeot,408,FF,SEDAN,1,2012,0,110000,AUTO,150,left,GASOLINE,1600.0,4.0,519500
Kia,Sorento,4WD,SUV,2,2011,0,204476,AT,175,left,GASOLINE,2400.0,3.0,1120000
Kia,Spectra,FF,SEDAN,1,2007,1,170000,MANUAL,101,left,GASOLINE,1600.0,2.0,225000
Nissan,Qashqai,4WD,SUV,1,2011,1,118000,AUTO,141,left,GASOLINE,2000.0,3.0,879500
Toyota,Highlander,4WD,SUV,3,2014,0,235000,AUTO,249,left,GASOLINE,3500.0,1.0,2199500
Renault,Duster,4WD,SUV,1,2018,1,67000,MT,143,left,GASOLINE,2000.0,2.0,1139000
Kia,Rio,FF,SEDAN,3,2015,1,150000,MANUAL,107,left,GASOLINE,1400.0,0.0,490000
