firm,model,drive,frame_type,generation_number,year,restyling_number,mileage,transmission,engine_power,steering_wheel,fuel_type,volume,ownership_periods,price
Hyundai,Sonata,FF,SEDAN,4,2008,1,85000,MANUAL,137,left,GASOLINE,2000.0,6.0,345000
Daewoo,Matiz,FF,HATCH,1,2012,1,83000,MANUAL,51,left,GASOLINE,800.0,3.0,169000
Chevrolet,Aveo,FF,HATCH,1,2006,0,138000,MANUAL,72,left,GASOLINE,1200.0,5.0,225000
Volkswagen,Touareg,4WD,SUV,2,2011,0,123000,AT,280,left,GASOLINE,3600.0,1.0,1999999
Mercedes-Benz,Viano,FR,MINIVAN,2,2004,0,73000,AT,218,left,GASOLINE,3200.0,0.0,835000
Volkswagen,Passat,FF,SEDAN,7,2015,0,70000,AUTO,170,left,GASOLINE,1800.0,1.0,1799000
Fiat,Albea,FF,SEDAN,1,2011,1,0,MT,77,left,GASOLINE,1400.0,2.0,276000
BMW,Z4,FR,OPEN,1,2006,1,109050,AT,265,left,GASOLINE,3000.0,13.0,1250000
Mercedes-Benz,M-Class,4WD,SUV,2,2008,0,190000,AT,272,left,GASOLINE,3500.0,6.0,840000
Subaru,Impreza WRX STI,4WD,SEDAN,2,2004,1,234000,MANUAL,280,right,GASOLINE,2000.0,0.0,700000
Ford,Focus ST,FF,HATCH_3DR,2,2008,-1,199000,MANUAL,225,left,GASOLINE,2500.0,8.0,615000
Hyundai,Santa Fe Classic,4WD,SUV,1,2012,0,86000,MT,112,left,DIESEL,2000.0,1.0,685000
Opel,Zafira,FF,MINIVAN,2,2013,1,95000,AUTO,140,left,GASOLINE,1800.0,1.0,585000
Nissan,Almera Classic,FF,SEDAN,1,2010,0,123000,AUTO,107,left,GASOLINE,1600.0,3.0,440000
Datsun,on-DO,FF,SEDAN,1,2018,0,0,MT,87,left,GASOLINE,1600.0,1.0,420000
Infiniti,FX35,4WD,SUV,1,2007,1,198000,AT,280,left,GASOLINE,3500.0,2.0,850000
Mercedes-Benz,C-Class,RR,SEDAN,2,2001,0,293000,MANUAL,129,left,GASOLINE,2000.0,7.0,315000
Toyota,Aqua,FF,HATCH,1,2013,0,85578,CVT,74,right,GASOLINE,1500.0,0.0,669999
Honda,Elysion,FF,MINIVAN,1,2006,-1,137000,AUTO,160,right,GASOLINE,2400.0,0.0,635000
Hyundai,Solaris,FF,SEDAN,2,2017,0,44000,AT,100,left,GASOLINE,1400.0,1.0,879000
BMW,X6,4WD,SUV,1,2008,0,149300,AUTO,306,left,GASOLINE,3000.0,3.0,970000
Porsche,Cayenne,4WD,SUV,1,2007,1,60000,AUTO,384,left,GASOLINE,4800.0,3.0,1500000
Mercedes-Benz,CL-Class,FR,COUPE,1,1998,0,316000,AT,320,left,GASOLINE,5000.0,12.0,550000
Porsche,Cayenne,4WD,SUV,1,2003,0,247544,AUTO,340,left,GASOLINE,4500.0,6.0,799999
BMW,X5,4WD,SUV,1,2004,1,287200,AUTO,282,left,GASOLINE,4400.0,13.0,680000
Toyota,Prius,FF,LIFTBACK,2,2008,1,197400,CVT,78,left,GASOLINE,1500.0,7.0,655000
Toyota,Platz,FF,SEDAN,1,2000,0,285000,AUTO,70,right,GASOLINE,1000.0,0.0,195000
Nissan,Qashqai,4WD,SUV,1,2008,0,150000,CVT,141,left,GASOLINE,2000.0,4.0,649999
Ford,Mondeo,FF,SEDAN,4,2010,0,222000,AUTO,140,left,DIESEL,2000.0,9.0,430000
Ford,Spectron,4WD,MINIVAN,-1,1993,-1,495000,AUTO,70,right,DIESEL,2000.0,0.0,175000
Saab,9-3,FF,SEDAN,2,2003,0,300000,AT,175,left,GASOLINE,2000.0,11.0,300000
Skoda,Octavia,FF,LIFTBACK,2,2010,1,240000,AT,102,left,GASOLINE,1600.0,5.0,650000
Toyota,Town Ace Noah,4WD,MINIVAN,5,1998,0,300000,AT,91,right,DIESEL,2200.0,0.0,310000
Volkswagen,Tiguan,4WD,SUV,1,2013,1,98616,AT,170,left,GASOLINE,2000.0,1.0,1499000
Mercedes-Benz,E-Class,4WD,SEDAN,3,2007,1,127000,AT,272,left,GASOLINE,3500.0,3.0,599196
Land Rover,Discovery,4WD,SUV,3,2006,0,395000,AT,299,left,GASOLINE,4400.0,3.0,700000
Subaru,Forester,4WD,SUV,4,2013,0,121111,CVT,171,left,GASOLINE,2500.0,4.0,1277000
Toyota,Camry,FF,SEDAN,8,2015,1,250000,AT,181,left,GASOLINE,2500.0,1.0,1500000
Chevrolet,Camaro,RR,COUPE,6,2016,0,35000,AUTO,323,left,GASOLINE,3600.0,0.0,2790000
Nissan,Leaf,FF,HATCH,1,2013,0,66000,SSR,109,right,ELECTRO,0.0,0.0,599196
Audi,Q7,4WD,SUV,1,2010,1,185000,AUTO,280,left,GASOLINE,3600.0,7.0,1430000
Chevrolet,Lanos,FF,SEDAN,1,2006,0,183000,MANUAL,86,left,GASOLINE,1500.0,4.0,79000
BMW,X5,4WD,SUV,2,2008,0,260000,AT,272,left,GASOLINE,3000.0,11.0,1100000
BMW,7-Series,RR,SEDAN,5,2008,0,192000,AUTO,408,left,GASOLINE,4400.0,13.0,650000
Lifan,Smily,FF,HATCH,1,2012,0,120000,MANUAL,89,left,GASOLINE,1300.0,1.0,169000
Suzuki,Swift,FF,HATCH,-1,2015,-1,90000,AUTO,92,right,GASOLINE,1200.0,0.0,680000
Mitsubishi,Pajero,4WD,SUV,2,1994,0,200000,AT,125,left,DIESEL,2800.0,3.0,370000
Honda,Integra,FF,SEDAN,-1,2000,-1,365000,AUTO,120,right,GASOLINE,1500.0,0.0,202000
Bentley,Continental GT,4WD,COUPE,-1,2005,-1,80950,AUTO,560,left,GASOLINE,5998.0,2.0,2690000
Nissan,Terrano II,4WD,SUV,1,1999,1,300000,MT,118,left,GASOLINE,2400.0,5.0,230000
Lexus,GS350,FR,SEDAN,3,2007,0,131000,AT,315,right,GASOLINE,3500.0,0.0,350000
Audi,A5,FF,LIFTBACK,-1,2010,-1,267000,MANUAL,179,left,GASOLINE,2000.0,7.0,800000
Chrysler,300C,FR,SEDAN,1,2007,0,69000,AT,193,left,GASOLINE,2700.0,2.0,1200000
Toyota,Alphard,FF,MINIVAN,3,2016,0,138808,AUTO,275,left,GASOLINE,3500.0,1.0,3150000
Toyota,Camry,FF,SEDAN,9,2019,0,97000,AT,181,left,GASOLINE,2500.0,2.0,2180000
Lexus,LS400,FR,SEDAN,2,1997,0,420000,AT,260,left,GASOLINE,4000.0,0.0,567000
Volkswagen,Touareg,4WD,SUV,1,2007,1,234000,AT,174,left,DIESEL,2500.0,3.0,830000
Nissan,Bassara,FF,MINIVAN,1,2000,0,0,AUTO,150,right,GASOLINE,2400.0,0.0,225000
Hyundai,Elantra,FF,SEDAN,5,2012,0,100000,AUTO,132,left,GASOLINE,1600.0,3.0,840000
Ford,Mustang,RR,COUPE,-1,2014,-1,129207,AUTO,305,left,GASOLINE,3700.0,0.0,1100000
Mercedes-Benz,C-Class,4WD,SEDAN,4,2015,0,81000,AT,184,left,GASOLINE,2000.0,1.0,1699000
Toyota,Alphard,4WD,MINIVAN,1,2003,0,170000,AT,159,right,GASOLINE,2400.0,0.0,1250000
Nissan,X-Trail,4WD,SUV,2,2011,1,259000,CVT,141,left,GASOLINE,2000.0,2.0,870000
Mercedes-Benz,C-Class,FR,COUPE,2,2005,1,218000,AT,192,left,GASOLINE,1800.0,4.0,650000
Dodge,Avenger,FF,SEDAN,2,2007,0,200000,AT,170,left,GASOLINE,2400.0,3.0,420000
Toyota,Vista,FF,SEDAN,3,1994,1,257000,AUTO,91,right,DIESEL,2000.0,0.0,190000
Audi,A6,4WD,SEDAN,4,2015,1,90000,SAT,249,left,GASOLINE,2000.0,1.0,2420000
Nissan,Patrol,4WD,SUV,3,1993,0,0,MANUAL,90,left,DIESEL,2826.0,6.0,260000
Mercedes-Benz,A-Class,FF,HATCH_3DR,2,2007,0,134500,MANUAL,95,left,GASOLINE,1500.0,4.0,320000
BMW,3-Series,FR,SEDAN,5,2007,0,177210,AT,129,left,GASOLINE,2000.0,5.0,450000
Chevrolet,Niva,4WD,SUV,1,2012,1,128024,MANUAL,80,left,GASOLINE,1700.0,2.0,381200
Audi,Q7,4WD,SUV,1,2006,0,212000,AT,350,left,GASOLINE,4200.0,6.0,730000
Infiniti,G35,4WD,SEDAN,4,2007,0,232000,AT,316,left,GASOLINE,3500.0,9.0,530000
Nissan,Maxima,FF,SEDAN,5,2001,0,270000,AT,200,left,GASOLINE,3000.0,10.0,490000
Skoda,Rapid,FF,HATCH,0,2015,0,122883,MANUAL,106,left,GASOLINE,1600.0,2.0,570000
